"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000153253",1184.86176318318,-1.06143859582294,0.845095724370074,589.143116753689,5.12268828058441e-124,9.46928928666029e-120,"SCN3A"
"ENSG00000169442",8130.87176827252,1.98071377403853,0.341868038215277,373.865587296507,1.15639624216938e-77,1.06879922682505e-73,"CD52"
"ENSG00000255733",107.646311304311,-0.914318280370643,1.59406138834574,358.703809253296,2.0877684197437e-74,1.28641330796541e-70,"IFNG-AS1"
"ENSG00000134324",6760.64556678005,0.700731247894171,0.268503250543679,328.452935140682,6.49376398510688e-68,3.00093068161752e-64,"LPIN1"
"ENSG00000118946",113.195183006179,9.38317828644849,1.2313562471681,317.724237545868,1.29878289633907e-65,4.80160036776553e-62,"PCDH17"
"ENSG00000171476",7209.22613907872,3.62431959021864,0.48837199427153,315.249255686275,4.40780539498311e-65,1.35797137877105e-61,"HOPX"
"ENSG00000019582",73423.7311807877,2.2941905467669,0.243948414359445,296.222718284535,5.27308790795714e-61,1.39247185683697e-57,"CD74"
"ENSG00000204472",4649.32429940445,0.498820266166497,0.184431377971938,282.782740819397,3.98535309939156e-58,9.20865650528163e-55,"AIF1"
"ENSG00000164035",833.223041431218,9.39224222789931,0.800333785198602,268.196528554109,5.27420649120104e-55,1.08326341099835e-51,"EMCN"
"ENSG00000204287",40083.2516737659,1.75166000675099,0.193802310618807,263.576108311442,5.13437927776825e-54,9.49090009495461e-51,"HLA-DRA"
"ENSG00000231389",11530.4729373146,2.19276451774561,0.221719018134704,251.737510314281,1.74421707583569e-51,2.93107751334752e-48,"HLA-DPA1"
"ENSG00000167552",15831.2171263052,1.90636204483152,0.249755403792531,240.031814306722,5.52634969309753e-49,8.51288117307565e-46,"TUBA1A"
"ENSG00000244273",116.008719037413,1.34166689238648,1.78461622669362,239.839605664611,6.07415577305748e-49,8.63698226653597e-46,NA
"ENSG00000126353",979.517971246416,0.949123276941169,1.21620351690532,235.416885854045,5.34363520911011e-48,7.05550691717146e-45,"CCR7"
"ENSG00000142669",9287.2641862592,-0.194917461649273,0.157187302524699,232.153772857021,2.65700739580309e-47,3.27431878076134e-44,"SH3BGRL3"
"ENSG00000226777",11727.9550749466,1.02808612130576,0.338856309253418,221.161683866898,5.88213106837483e-45,6.7956995499318e-42,"KIAA0125"
"ENSG00000139278",2320.01665888227,2.54121953903285,0.39000285222243,215.288415434388,1.05131904106002e-43,1.14315485141144e-40,"GLIPR1"
